,Real Estate ($K),Cash ($K),Bonds ($K),Equity Investments ($K),Alternative Investments ($K),Liabilities ($K),NAV ($K), Expenses ($) ,CPI-U
12/31/2015,$891,$704,$0,"$2,806",$152,-$438,"$4,114"," $ (7,000)",236.525
1/31/2016,$930,$616,$76,"$2,446",$192,-$438,"$3,821"," $ (7,000)",236.916
2/29/2016,$941,$518,$128,"$2,601",$186,-$438,"$3,936"," $ (7,000)",237.111
3/31/2016,$952,$369,$182,"$2,883",$195,-$471,"$4,109"," $ (7,000)",238.132
4/30/2016,$967,$413,$251,"$2,822",$194,-$405,"$4,241"," $ (7,000)",239.261
5/31/2016,$986,$441,$303,"$2,894",$197,-$417,"$4,403"," $ (7,000)",240.236
6/30/2016,$992,$343,$352,"$2,872",$198,-$411,"$4,345"," $ (7,000)",241.038
7/31/2016,$992,$343,$352,"$2,872",$198,-$411,"$4,345"," $ (7,000)",240.647
8/31/2016,$992,$343,$352,"$2,872",$198,-$411,"$4,345"," $ (7,000)",240.853
9/30/2016,"$1,568",$265,$353,"$2,562",$191,-$354,"$4,584"," $ (7,000)",241.428
10/31/2016,"$1,568",$265,$353,"$2,562",$191,-$354,"$4,584"," $ (7,000)",241.729
11/30/2016,"$1,438",$494,$410,"$2,221",$176,-$287,"$4,451"," $ (7,000)",241.353
12/31/2016,"$1,442",$491,$410,"$2,262",$78,-$297,"$4,386"," $ (7,000)",241.432
1/31/2017,"$1,444",$692,$459,"$2,190",$43,-$305,"$4,522"," $ (4,807)",242.839
2/28/2017,"$1,448",$678,$483,"$2,257",$45,-$325,"$4,585"," $ (5,898)",243.603
3/31/2017,"$1,453",$678,$437,"$2,305",$43,-$296,"$4,619"," $ (7,645)",243.801
4/30/2017,"$1,478",$970,$452,"$2,054",$43,-$311,"$4,686"," $ (5,134)",244.524
5/31/2017,"$1,487",$886,$465,"$2,073",$42,-$313,"$4,640"," $ (6,745)",244.733
6/30/2017,"$1,505",$794,$488,"$2,089",$44,-$258,"$4,661"," $ (10,881)",244.955
7/31/2017,"$1,644","$1,086",$515,"$1,864",$42,-$285,"$4,864"," $ (5,205)",244.786
8/31/2017,"$1,718",$932,$528,"$1,921",$42,-$275,"$4,866"," $ (6,165)",245.519
9/30/2017,"$1,747",$800,$538,"$1,985",$43,-$215,"$4,897"," $ (11,744)",246.819
10/31/2017,"$1,837",$688,$547,"$2,048",$43,-$229,"$4,934"," $ (6,116)",246.663
11/30/2017,"$1,897",$614,$570,"$2,089",$45,-$243,"$4,971"," $ (7,472)",246.669
12/31/2017,"$1,956",$617,$556,"$2,089",$47,-$250,"$5,014"," $ (7,396)",246.524
1/31/2018,"$2,058",$573,$552,"$2,126",$54,-$266,"$5,096"," $ (4,580)",247.867
2/28/2018,"$2,186",$837,$549,"$1,726",$49,-$246,"$5,099"," $ (9,252)",248.991
3/31/2018,"$2,241",$842,$549,"$1,678",$45,-$263,"$5,091"," $ (11,576)",249.554
4/30/2018,"$2,498",$796,$547,"$1,637",$46,-$262,"$5,261"," $ (9,277)",250.546
5/31/2018,"$2,512",$786,$549,"$1,672",$45,-$272,"$5,290"," $ (5,109)",251.588
6/30/2018,"$2,539",$676,$613,"$1,668",$42,-$271,"$5,266"," $ (7,255)",251.989
7/31/2018,"$2,503",$670,$614,"$1,699",$42,-$265,"$5,261"," $ (9,804)",252.006
8/31/2018,"$2,499",$654,$590,"$1,744",$40,-$262,"$5,264"," $ (5,076)",252.146
9/30/2018,"$2,483",$656,$601,"$1,708",$40,-$257,"$5,231"," $ (16,730)",252.439
10/31/2018,"$2,512",$592,$692,"$1,576",$41,-$249,"$5,162"," $ (10,139)",252.885
11/30/2018,"$1,997",$718,$751,"$1,667",$287,-$269,"$5,151"," $ (5,787)",252.038
12/31/2018,"$2,009",$727,$725,"$1,483",$290,-$159,"$5,073"," $ (8,836)",251.233
1/31/2019,"$2,002",$849,$774,"$1,616",$106,-$176,"$5,171"," $ (6,022)",251.712
2/28/2019,"$2,039",$748,$775,"$1,787",$69,-$177,"$5,241"," $ (7,200)",252.776
3/31/2019,"$2,040",$763,$782,"$1,813",$58,-$182,"$5,273"," $ (5,781)",254.202
4/30/2019,"$2,100",$764,$782,"$1,876",$58,-$203,"$5,377"," $ (7,151)",255.548
5/31/2019,"$2,085",$768,$762,"$1,759",$63,-$178,"$5,258"," $ (11,753)",256.092
6/30/2019,"$2,068",$805,$742,"$1,864",$67,-$199,"$5,346"," $ (6,788)",256.143
7/31/2019,"$2,049",$817,$729,"$1,857",$64,-$192,"$5,324"," $ (7,682)",256.571
8/31/2019,"$2,034",$751,$795,"$1,838",$66,-$177,"$5,307"," $ (4,484)",256.558
9/30/2019,"$2,034",$763,$786,"$1,838",$66,-$184,"$5,304"," $ (10,717)",256.759
10/31/2019,"$2,034",$782,$769,"$1,899",$67,-$197,"$5,354"," $ (8,390)",257.346
11/30/2019,"$2,061",$782,$769,"$1,942",$62,-$209,"$5,405"," $ (6,108)",257.208
12/31/2019,"$2,071",$905,$721,"$1,953",$41,-$216,"$5,474"," $ (11,708)",256.974
